Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Deaths,Death Description,Damage ($Mil),Damage Description,Houses Destroyed Description
1846.0,10.0,19.0,3.0,1.0,7.2,ITALY,,50.0,TUSCANY,,,0.92,0.0,0.6,,,,,
1846.0,10.0,24.0,3.0,1.0,7.2,ITALY,,50.0,TUSCANY,,,0.92,0.0,0.6,,,,,
1846.0,10.0,28.0,3.0,1.0,7.2,ITALY,,50.0,TUSCANY,,,0.92,0.0,0.6,,,,,
1846.0,11.0,29.0,3.0,1.0,7.2,ITALY,,50.0,TUSCANY,,,0.92,0.0,0.6,,,,,
1847.0,4.0,15.0,3.0,1.0,7.2,ITALY,,50.0,LIVORNO,,,0.92,0.0,0.6,,,,,
1847.0,4.0,16.0,3.0,1.0,7.2,ITALY,,50.0,LIVORNO,,,0.92,0.0,0.6,,,,,
1847.0,4.0,17.0,3.0,1.0,7.2,ITALY,,50.0,LIVORNO,,,0.92,0.0,0.6,,,,,
1847.0,7.0,9.0,4.0,8.0,7.2,PORTUGAL,,73.0,AZORES,39.483,-31.233,7.0,2.0,0.6,10.0,1.0,,,
1847.0,10.0,31.0,3.0,1.0,7.2,INDIA,,60.0,LITTLE NICOBAR ISLAND,7.333,93.667,0.92,1.0,0.6,,,,,
1848.0,9.0,24.0,3.0,8.0,7.2,CANADA,NL,75.0,"FISHING SHIPS HARBOUR, NEWFOUNDLAND",52.616,-55.766,0.92,4.0,0.6,,,,,
1849.0,1.0,25.0,3.0,1.0,7.5,USA TERRITORY,GU,81.0,"GUAM, MARIANA ISLANDS",14.0,143.3,6.1,7.0,1.0,,3.0,,2.0,
1849.0,9.0,28.0,4.0,1.0,7.2,RUSSIA,,86.0,KAMCHATKA,55.0,166.0,0.92,4.0,0.6,,,,,
1849.0,11.0,17.0,4.0,1.0,7.5,CHILE,,89.0,CENTRAL CHILE,-29.95,-71.37,5.0,3.0,2.3,,,,1.0,
1851.0,2.0,28.0,3.0,1.0,7.1,TURKEY,,50.0,"FETIYE, ASIA MINOR",36.5,29.0,0.6,1.0,-0.1,,,,,
1851.0,4.0,3.0,3.0,1.0,7.2,TURKEY,,50.0,ASIA MINOR,36.4,28.7,1.8,2.0,0.6,,,,,
1851.0,5.0,4.0,3.0,0.0,7.2,INDONESIA,,60.0,LAMPUNG BAY,-5.0,105.0,1.5,1.0,3.9,,,,,
1852.0,1.0,9.0,3.0,1.0,6.5,INDONESIA,,60.0,JAVA,-6.5,105.5,0.92,1.0,0.6,,,,,
1852.0,11.0,25.0,4.0,1.0,8.3,INDONESIA,,83.0,BANDA SEA,-5.25,129.75,8.0,22.0,3.0,60.0,2.0,,2.0,2.0
1853.0,7.0,15.0,4.0,1.0,6.7,VENEZUELA,,74.0,CUMANA,10.5,-64.2,5.0,4.0,0.6,,,,1.0,
1853.0,8.0,18.0,3.0,1.0,7.2,GREECE,,50.0,CENTRAL GREECE (EVOIKOS GULF),38.25,23.5,0.92,1.0,0.6,,,,,
1853.0,1.0,1.0,4.0,8.0,7.2,USA,AK,87.0,"LITUYA BAY, AK",58.63,-137.57,120.0,1.0,4.3,,2.0,,,
1854.0,1.0,27.0,3.0,3.0,7.2,USA,AK,87.0,"KODIAK ISLAND, AK",57.0,-152.0,2.4,2.0,0.6,,,,,
1854.0,7.0,9.0,4.0,6.0,7.2,RUSSIA,,86.0,N. KURIL ISLANDS,50.9,155.5,0.92,0.0,0.6,,,,,
1854.0,8.0,5.0,3.0,3.0,7.3,COSTA RICA,,88.0,COSTA RICA-PANAMA,8.5,-83.0,0.92,1.0,0.6,,,,3.0,1.0
